                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8566,                 3.5149,                 1.9791,                0.48246,                0.16667,                0.18585,                0.05583,                 2.2368,                 4.8735,                 2.5452,             0.00066455,             0.00066455,             0.00066455
                      2,                 2.0061,                 2.7868,                 2.1394,                0.16904,                0.26736,                0.09275,                0.02535,                 2.4149,                 3.1712,                 2.7114,              0.0013049,              0.0013049,              0.0013049
                      3,                 2.0222,                 2.5246,                 2.1446,                 0.3307,                0.13889,                0.15986,                0.05403,                  2.277,                 3.3942,                 2.7299,              0.0019188,              0.0019188,              0.0019188
                      4,                 2.0484,                 2.4104,                 2.1482,                0.55536,                0.25347,                0.32677,                0.12275,                 2.1772,                 2.5445,                 2.5207,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.9783,                 2.2506,                 2.0898,                  0.518,                 0.3433,                0.39112,                0.14398,                 2.1972,                 2.9431,                 2.5572,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.9255,                 2.1968,                 2.0346,                0.39282,                0.48264,                0.42537,                0.15571,                 2.1272,                 2.1972,                 2.3734,               0.001802,               0.001802,               0.001802
                      7,                 1.9133,                 1.9869,                  1.963,                0.60361,                0.43403,                 0.4709,                0.17718,                 2.1868,                 2.1408,                 2.4053,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.8574,                 1.9616,                 1.9356,                0.63331,                0.47569,                0.49915,                 0.2022,                 2.0124,                 2.2138,                 2.3401,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.8347,                  1.901,                 1.9349,                0.70862,                0.49306,                0.57586,                0.23825,                 2.0346,                 1.9795,                 2.3355,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.8033,                 1.8647,                 1.9019,                0.62703,                0.56623,                0.55638,                0.23275,                 2.0355,                  1.889,                 2.2994,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.8051,                 1.7926,                 1.9004,                0.67968,                0.56597,                0.62397,                0.27074,                 1.9942,                 1.8713,                 2.2747,               0.001604,               0.001604,               0.001604
                     12,                 1.7586,                 1.6907,                 1.8518,                0.70173,                0.58681,                0.65506,                0.27631,                 2.0269,                 1.6235,                 2.2861,              0.0015644,              0.0015644,              0.0015644
                     13,                  1.783,                 1.7427,                 1.8921,                0.68149,                0.55556,                0.59443,                 0.2603,                 1.8996,                 1.7365,                 2.2713,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.7101,                 1.6113,                 1.8185,                0.71634,                0.57872,                0.61542,                0.28294,                 2.0313,                 1.6089,                 2.3161,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.7274,                 1.5803,                 1.8478,                0.70529,                0.62847,                0.66103,                0.29386,                 1.9572,                  1.615,                 2.1881,              0.0014456,              0.0014456,              0.0014456
                     16,                  1.712,                 1.5447,                 1.8322,                0.69121,                0.54408,                0.59267,                0.24911,                  1.994,                 1.8007,                 2.2167,               0.001406,               0.001406,               0.001406
                     17,                  1.701,                 1.5663,                  1.822,                0.76422,                0.63542,                0.68649,                0.29663,                  1.969,                 1.5211,                 2.2263,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.7036,                 1.5697,                 1.8049,                0.79936,                0.56718,                0.66108,                0.28733,                 1.9471,                 1.5654,                 2.1968,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.6808,                 1.4854,                  1.787,                0.81915,                0.58192,                0.69566,                0.31401,                 1.9929,                 1.5565,                 2.2708,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.6535,                 1.4217,                 1.7747,                0.81581,                0.63054,                 0.6897,                0.28927,                 2.0582,                 1.5262,                 2.2865,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.6589,                 1.4027,                 1.7748,                0.86023,                0.57986,                0.69245,                0.31661,                 2.0034,                 1.4887,                 2.2261,               0.001208,               0.001208,               0.001208
                     22,                 1.6611,                 1.4019,                 1.7743,                0.87088,                 0.5625,                0.68852,                0.29015,                 1.9861,                 1.5953,                 2.1677,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.6541,                 1.3814,                 1.7657,                0.75222,                0.59029,                0.68676,                0.27689,                 2.0069,                 1.4823,                 2.2626,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.6098,                 1.3754,                 1.7174,                0.76904,                0.63588,                0.74309,                0.32712,                 1.9974,                 1.3219,                 2.2774,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.6511,                 1.3858,                 1.7685,                0.81232,                0.61458,                0.68008,                0.28824,                 2.0697,                  1.463,                  2.314,              0.0010496,              0.0010496,              0.0010496
